,accuracy_results,error_results,precision_results,recall_results,f1_results,gmean_results
0,0.8970588235294118,0.1029411764705882,0.6588235294117648,0.75,0.7741935483870969,0.8406728074767075
1,0.8656716417910447,0.13432835820895528,0.5781094527363184,0.8,0.7272727272727272,0.8412444993533733
2,0.9104477611940298,0.08955223880597019,0.6806874717322478,0.6666666666666666,0.7692307692307692,0.8086075400626399
3,0.9253731343283582,0.07462686567164178,0.7319237147595357,0.7333333333333333,0.8148148148148148,0.848074742714797
4,0.8507462686567164,0.14925373134328357,0.5171408582089552,0.4375,0.5833333333333334,0.6549210399944798
5,0.8970588235294118,0.1029411764705882,0.6654411764705882,0.8125,0.787878787878788,0.8660254037844387
6,0.8955223880597015,0.10447761194029848,0.6295522388059702,0.6,0.7200000000000001,0.7671124679351382
7,0.8656716417910447,0.13432835820895528,0.5311442786069652,0.5333333333333333,0.64,0.7161148740394329
8,0.8955223880597015,0.10447761194029848,0.6378109452736318,0.5333333333333333,0.6956521739130436,0.7302967433402214
9,0.8955223880597015,0.10447761194029848,0.6577340569877883,0.625,0.7407407407407406,0.7827803638564368
10,0.9264705882352942,0.07352941176470584,0.7610294117647058,0.6875,0.8148148148148148,0.82915619758885
11,0.8656716417910447,0.13432835820895528,0.5311442786069652,0.5333333333333333,0.64,0.7161148740394329
12,0.8805970149253731,0.11940298507462688,0.5974792703150912,0.7333333333333333,0.7333333333333333,0.8227533512074423
13,0.9402985074626866,0.05970149253731338,0.7930348258706468,0.7333333333333333,0.846153846153846,0.8563488385776752
14,0.8656716417910447,0.13432835820895528,0.5638474295190713,0.5,0.64,0.7001400420140049
15,0.8823529411764706,0.11764705882352944,0.6090686274509804,0.625,0.7142857142857143,0.7752170911825529
16,0.8805970149253731,0.11940298507462688,0.580461329715061,0.6,0.6923076923076923,0.7595545253127499
17,0.8656716417910447,0.13432835820895528,0.59318407960199,0.8666666666666667,0.7428571428571429,0.8660254037844387
18,0.9253731343283582,0.07462686567164178,0.7304904051172708,0.8,0.8275862068965518,0.8770580193070293
19,0.8805970149253731,0.11940298507462688,0.6194029850746269,0.5,0.6666666666666666,0.7071067811865476
20,0.8970588235294118,0.1029411764705882,0.6564171122994652,0.625,0.7407407407407406,0.7829308840700877
21,0.8805970149253731,0.11940298507462688,0.580461329715061,0.6,0.6923076923076923,0.7595545253127499
22,0.9253731343283582,0.07462686567164178,0.7412935323383084,0.6666666666666666,0.8,0.816496580927726
23,0.8955223880597015,0.10447761194029848,0.6447761194029852,0.8,0.7741935483870969,0.8593378488473195
24,0.8656716417910447,0.13432835820895528,0.5647048846675713,0.5625,0.6666666666666666,0.7351470441147052
25,0.8529411764705882,0.1470588235294118,0.5248161764705882,0.5625,0.6428571428571429,0.7280440075456133
26,0.9253731343283582,0.07462686567164178,0.7319237147595357,0.7333333333333333,0.8148148148148148,0.848074742714797
27,0.8955223880597015,0.10447761194029848,0.6295522388059702,0.6,0.7200000000000001,0.7671124679351382
28,0.8507462686567164,0.14925373134328357,0.5190713101160862,0.6666666666666666,0.6666666666666666,0.7762500258061849
29,0.9253731343283582,0.07462686567164178,0.7621268656716418,0.6875,0.8148148148148148,0.82915619758885
30,0.9117647058823529,0.08823529411764708,0.7132352941176471,0.625,0.7692307692307693,0.7905694150420948
31,0.8955223880597015,0.10447761194029848,0.6557766721945826,0.8666666666666667,0.7878787878787877,0.8850612031567836
32,0.8507462686567164,0.14925373134328357,0.5049368541905855,0.6,0.6428571428571429,0.7442084075352507
33,0.9253731343283582,0.07462686567164178,0.7319237147595357,0.7333333333333333,0.8148148148148148,0.848074742714797
34,0.9104477611940298,0.08955223880597019,0.704835199004975,0.6875,0.7857142857142857,0.8209869717864816
35,0.8970588235294118,0.1029411764705882,0.6654411764705882,0.5625,0.72,0.75
36,0.8805970149253731,0.11940298507462688,0.580461329715061,0.6,0.6923076923076923,0.7595545253127499
37,0.8208955223880597,0.17910447761194026,0.4667837284167398,0.6666666666666666,0.625,0.7595545253127499
38,0.9402985074626866,0.05970149253731338,0.7930348258706468,0.7333333333333333,0.846153846153846,0.8563488385776752
39,0.8805970149253731,0.11940298507462688,0.6194029850746269,0.5,0.6666666666666666,0.7071067811865476
40,0.9411764705882353,0.05882352941176472,0.7985819327731092,0.8125,0.8666666666666666,0.8926785535678562
41,0.9253731343283582,0.07462686567164178,0.7412935323383084,0.6666666666666666,0.8,0.816496580927726
42,0.8656716417910447,0.13432835820895528,0.5277363184079602,0.4666666666666667,0.608695652173913,0.6765296059244619
43,0.8656716417910447,0.13432835820895528,0.5311442786069652,0.5333333333333333,0.64,0.7161148740394329
44,0.9253731343283582,0.07462686567164178,0.7489427860696518,0.8125,0.8387096774193549,0.8835367875204523
45,0.8970588235294118,0.1029411764705882,0.6654411764705882,0.5625,0.72,0.75
46,0.8805970149253731,0.11940298507462688,0.5785516860143726,0.5333333333333333,0.6666666666666667,0.7232405706795789
47,0.9552238805970149,0.04477611940298509,0.8346126510305615,0.8666666666666667,0.896551724137931,0.9219544457292888
48,0.8955223880597015,0.10447761194029848,0.6301824212271974,0.6666666666666666,0.7407407407407408,0.8006407690254357
49,0.8507462686567164,0.14925373134328357,0.5359808102345416,0.625,0.6666666666666666,0.7589337205295748
