,accuracy_results,error_results,precision_results,recall_results,f1_results,gmean_results
0,0.9647058823529412,0.03529411764705881,0.8761609907120743,0.9,0.9230769230769231,0.9413574486632834
1,0.9467455621301775,0.053254437869822535,0.8139125414922789,0.9,0.888888888888889,0.930116271801417
2,0.9763313609467456,0.023668639053254448,0.9143343195266272,0.95,0.9500000000000001,0.9670942652241596
3,0.9704142011834319,0.029585798816568087,0.8953155818540434,0.925,0.9367088607594937,0.9542845040807706
4,0.9704142011834319,0.029585798816568087,0.8893984220907298,0.9487179487179487,0.9367088607594937,0.9627172261851806
5,0.9529411764705882,0.04705882352941182,0.8322192513368983,0.95,0.9047619047619048,0.9519211344191525
6,0.9644970414201184,0.035502958579881616,0.8763002180006229,0.9,0.9230769230769231,0.9413004364324427
7,0.9704142011834319,0.029585798816568087,0.8953155818540434,0.925,0.9367088607594937,0.9542845040807706
8,0.9644970414201184,0.035502958579881616,0.870121705217859,0.975,0.9285714285714285,0.968095709279605
9,0.9644970414201184,0.035502958579881616,0.8725944879791034,0.8974358974358975,0.9210526315789475,0.9400155271704288
10,0.9882352941176471,0.0117647058823529,0.9523809523809523,1.0,0.975609756097561,0.9922778767136676
11,0.9467455621301775,0.053254437869822535,0.8136817118480804,0.925,0.891566265060241,0.9391361691395165
12,0.9644970414201184,0.035502958579881616,0.8802802432610125,0.875,0.9210526315789473,0.9317816558956105
13,0.9822485207100592,0.017751479289940808,0.9374753451676529,0.95,0.9620253164556962,0.9708942573291536
14,0.9822485207100592,0.017751479289940808,0.9315581854043392,0.9743589743589743,0.9620253164556962,0.9794737547744264
15,0.9764705882352941,0.02352941176470591,0.9090909090909091,1.0,0.9523809523809523,0.9844951849708404
16,0.9585798816568047,0.041420118343195256,0.8513692032475575,0.95,0.9156626506024096,0.9556036283803256
17,0.9704142011834319,0.029585798816568087,0.890219485344709,0.975,0.9397590361445783,0.9719914824011912
18,0.9585798816568047,0.041420118343195256,0.8525075768509165,0.925,0.9135802469135802,0.9467406347344368
19,0.9940828402366864,0.00591715976331364,0.980276134122288,0.9743589743589743,0.9870129870129869,0.9870962335856491
20,0.9764705882352941,0.02352941176470591,0.9090909090909091,1.0,0.9523809523809523,0.9844951849708404
21,0.9467455621301775,0.053254437869822535,0.8148422090729783,0.875,0.8860759493670887,0.9207975983104341
22,0.9940828402366864,0.00591715976331364,0.975609756097561,1.0,0.9876543209876543,0.9961164901835046
23,0.9526627218934911,0.047337278106508895,0.8325475945459223,0.975,0.9069767441860466,0.9602567486124812
24,0.9763313609467456,0.023668639053254448,0.9211045364891519,0.8974358974358975,0.945945945945946,0.9473309334313419
25,0.9647058823529412,0.03529411764705881,0.8712885154061624,0.95,0.9268292682926829,0.9595672101365442
26,0.9763313609467456,0.023668639053254448,0.9236686390532545,0.9,0.9473684210526316,0.9486832980505138
27,0.9763313609467456,0.023668639053254448,0.9112743026204565,0.975,0.951219512195122,0.9758717033480112
28,0.9644970414201184,0.035502958579881616,0.8713581290504367,0.95,0.9268292682926829,0.9594491313555475
29,0.9704142011834319,0.029585798816568087,0.8922454064154469,0.9230769230769231,0.935064935064935,0.9533497467587488
30,0.9647058823529412,0.03529411764705881,0.8732720588235294,0.925,0.925,0.95060709346914
31,0.9704142011834319,0.029585798816568087,0.8923221244046761,0.95,0.9382716049382716,0.9632792828376338
32,0.9822485207100592,0.017751479289940808,0.9333561841535575,0.975,0.9629629629629629,0.9797365569020238
33,0.9526627218934911,0.047337278106508895,0.8326324316708932,0.925,0.9024390243902439,0.9429460678223891
34,0.9408284023668639,0.059171597633136064,0.7896120973044051,0.8717948717948718,0.8717948717948718,0.9155677472490834
35,0.9529411764705882,0.04705882352941182,0.8353328173374613,0.875,0.8974358974358975,0.9245581065069368
36,0.9704142011834319,0.029585798816568087,0.8888888888888888,1.0,0.9411764705882353,0.9804286358922405
37,0.9822485207100592,0.017751479289940808,0.9374753451676529,0.95,0.9620253164556962,0.9708942573291536
38,0.9763313609467456,0.023668639053254448,0.9143343195266272,0.95,0.9500000000000001,0.9670942652241596
39,0.9526627218934911,0.047337278106508895,0.8282580458940685,0.9230769230769231,0.9,0.9421114395319916
40,0.9647058823529412,0.03529411764705881,0.8732720588235294,0.925,0.925,0.95060709346914
41,0.9822485207100592,0.017751479289940808,0.9333561841535575,0.975,0.9629629629629629,0.9797365569020238
42,0.9822485207100592,0.017751479289940808,0.9333561841535575,0.975,0.9629629629629629,0.9797365569020238
43,0.9349112426035503,0.0650887573964497,0.7771570111462778,0.9,0.8674698795180723,0.9225848420051537
44,0.9526627218934911,0.047337278106508895,0.8333051563820794,0.8461538461538461,0.8918918918918919,0.9127628907194663
45,0.9647058823529412,0.03529411764705881,0.8761609907120743,0.9,0.9230769230769231,0.9413574486632834
46,0.9822485207100592,0.017751479289940808,0.9333561841535575,0.975,0.9629629629629629,0.9797365569020238
47,0.9408284023668639,0.059171597633136064,0.7960292743693553,0.85,0.8717948717948718,0.9075480212378368
48,0.9763313609467456,0.023668639053254448,0.9143343195266272,0.95,0.9500000000000001,0.9670942652241596
49,0.9763313609467456,0.023668639053254448,0.9089815750228509,0.9743589743589743,0.9500000000000001,0.9756401832942218
