,accuracy_results,error_results,precision_results,recall_results,f1_results,gmean_results
0,0.9302325581395349,0.06976744186046513,0.7,1.0,0.8235294117647058,0.9574271077563381
1,0.9767441860465116,0.023255813953488413,0.8803986710963455,0.8571428571428571,0.923076923076923,0.9258200997725514
2,1.0,0.0,1.0,1.0,1.0,1.0
3,1.0,0.0,1.0,1.0,1.0,1.0
4,1.0,0.0,1.0,1.0,1.0,1.0
5,0.9767441860465116,0.023255813953488413,0.875,1.0,0.9333333333333333,0.9860132971832694
6,1.0,0.0,1.0,1.0,1.0,1.0
7,1.0,0.0,1.0,1.0,1.0,1.0
8,0.9534883720930233,0.046511627906976716,0.7777777777777778,1.0,0.8750000000000001,0.97182531580755
9,1.0,0.0,1.0,1.0,1.0,1.0
10,1.0,0.0,1.0,1.0,1.0,1.0
11,1.0,0.0,1.0,1.0,1.0,1.0
12,0.9767441860465116,0.023255813953488413,0.875,1.0,0.9333333333333333,0.9860132971832694
13,1.0,0.0,1.0,1.0,1.0,1.0
14,0.9534883720930233,0.046511627906976716,0.7579496915045087,0.8571428571428571,0.8571428571428571,0.9128709291752768
15,0.9534883720930233,0.046511627906976716,0.7777777777777778,1.0,0.8750000000000001,0.97182531580755
16,1.0,0.0,1.0,1.0,1.0,1.0
17,1.0,0.0,1.0,1.0,1.0,1.0
18,1.0,0.0,1.0,1.0,1.0,1.0
19,0.9767441860465116,0.023255813953488413,0.8803986710963455,0.8571428571428571,0.923076923076923,0.9258200997725514
20,0.9767441860465116,0.023255813953488413,0.875,1.0,0.9333333333333333,0.9860132971832694
21,1.0,0.0,1.0,1.0,1.0,1.0
22,1.0,0.0,1.0,1.0,1.0,1.0
23,0.9767441860465116,0.023255813953488413,0.875,1.0,0.9333333333333333,0.9860132971832694
24,0.9767441860465116,0.023255813953488413,0.8803986710963455,0.8571428571428571,0.923076923076923,0.9258200997725514
25,0.9534883720930233,0.046511627906976716,0.7579496915045087,0.8571428571428571,0.8571428571428571,0.9128709291752768
26,1.0,0.0,1.0,1.0,1.0,1.0
27,1.0,0.0,1.0,1.0,1.0,1.0
28,0.9767441860465116,0.023255813953488413,0.875,1.0,0.9333333333333333,0.9860132971832694
29,1.0,0.0,1.0,1.0,1.0,1.0
30,1.0,0.0,1.0,1.0,1.0,1.0
31,1.0,0.0,1.0,1.0,1.0,1.0
32,0.9534883720930233,0.046511627906976716,0.7579496915045087,0.8571428571428571,0.8571428571428571,0.9128709291752768
33,1.0,0.0,1.0,1.0,1.0,1.0
34,1.0,0.0,1.0,1.0,1.0,1.0
35,1.0,0.0,1.0,1.0,1.0,1.0
36,1.0,0.0,1.0,1.0,1.0,1.0
37,0.9767441860465116,0.023255813953488413,0.875,1.0,0.9333333333333333,0.9860132971832694
38,1.0,0.0,1.0,1.0,1.0,1.0
39,1.0,0.0,1.0,1.0,1.0,1.0
40,1.0,0.0,1.0,1.0,1.0,1.0
41,1.0,0.0,1.0,1.0,1.0,1.0
42,0.9302325581395349,0.06976744186046513,0.7,1.0,0.8235294117647058,0.9574271077563381
43,1.0,0.0,1.0,1.0,1.0,1.0
44,1.0,0.0,1.0,1.0,1.0,1.0
45,0.9767441860465116,0.023255813953488413,0.875,1.0,0.9333333333333333,0.9860132971832694
46,0.9767441860465116,0.023255813953488413,0.875,1.0,0.9333333333333333,0.9860132971832694
47,1.0,0.0,1.0,1.0,1.0,1.0
48,1.0,0.0,1.0,1.0,1.0,1.0
49,1.0,0.0,1.0,1.0,1.0,1.0
